"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,8203116,25363,8,2019,"U",,"Y","G","C","2019_08_OH0152000_NIBRS",,0
2019,8210778,25363,9,2019,"U",,"Y","G","C","2019_09_OH0152000_NIBRS",,0
2019,8218440,25363,10,2019,"U",,"Y","G","C","2019_10_OH0152000_NIBRS",,0
2019,8226102,25363,11,2019,"U",,"Y","G","C","2019_11_OH0152000_NIBRS",,0
2019,8233764,25363,12,2019,"U",,"Y","G","C","2019_12_OH0152000_NIBRS",,0
2019,8149532,25705,1,2019,"I",,"Y","G","C","2019_01_OH0670200_NIBRS",35726136,0
2019,8157194,25705,2,2019,"I",,"Y","G","C","2019_02_OH0670200_NIBRS",37433452,0
2019,8164856,25705,3,2019,"I",,"Y","G","C","2019_03_OH0670200_NIBRS",47556780,0
2019,8172518,25705,4,2019,"I",,"Y","G","C","2019_04_OH0670200_NIBRS",48747105,0
2019,8180180,25705,5,2019,"U",,"Y","G","C","2019_05_OH0670200_NIBRS",,0
2019,8187842,25705,6,2019,"U",,"Y","G","C","2019_06_OH0670200_NIBRS",,0
2019,8195504,25705,7,2019,"U",,"Y","G","C","2019_07_OH0670200_NIBRS",,0
2019,8203166,25705,8,2019,"U",,"Y","G","C","2019_08_OH0670200_NIBRS",,0
2019,8210828,25705,9,2019,"U",,"Y","G","C","2019_09_OH0670200_NIBRS",,0
2019,8218490,25705,10,2019,"U",,"Y","G","C","2019_10_OH0670200_NIBRS",,0
2019,8226152,25705,11,2019,"U",,"Y","G","C","2019_11_OH0670200_NIBRS",,0
2019,8233814,25705,12,2019,"U",,"Y","G","C","2019_12_OH0670200_NIBRS",,0
2019,8149502,25573,1,2019,"I",,"Y","G","C","2019_01_OH0660600_NIBRS",35719711,0
