"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,31617515,1,31645694
2019,31617531,1,31645725
2019,31619808,1,31645732
2019,31608265,1,31645738
2019,31619832,1,31643827
2019,31619833,1,31645756
2019,31617559,1,31643829
2019,31608286,1,31645800
2019,31620094,1,31646017
2019,31620096,1,31646019
2019,31608382,1,31644018
2019,31620177,1,31646090
2019,31617754,1,31644041
2019,31620270,1,31646189
2019,31620273,1,31646192
2019,31620272,1,31646191
2019,36599743,1,36761626
2019,36595878,1,36761643
2019,36595880,1,36761645
2019,36599761,1,36770193
2019,36595892,1,36761657
2019,36599799,1,36770232
2019,36595904,1,36761670
2019,36599807,1,36761677
2019,36599808,1,36770238
2019,36599835,1,36770270
2019,36595944,1,36761707
2019,36599847,1,36770282
2019,36595956,1,36761717
2019,36595957,1,36761718
2019,36595958,1,36761719
2019,36595961,1,36761724
2019,36599865,1,36770299
2019,36595992,1,36761756
2019,36595993,1,36761757
2019,36596001,4,36761766
2019,36596013,1,36761780
2019,36604775,1,36765270
2019,36596016,1,36761784
2019,36604779,1,36761786
2019,36596030,1,36761799
2019,36604793,1,36765286
2019,36599891,1,36770324
2019,36599892,1,36770325
2019,36599893,1,36765288
2019,36599941,1,36770371
2019,36599943,1,36770375
2019,36604827,1,36765324
2019,36599958,1,36765329
2019,36596091,1,36761855
2019,36596098,1,36761862
2019,36599977,1,36770415
2019,36599980,1,36770417
2019,36596111,1,36761874
2019,36596114,1,36761876
2019,36600015,1,36770450
2019,36604863,1,36765361
2019,36604862,1,36765360
2019,36604865,1,36765364
2019,36600039,1,36770469
2019,36604877,1,36761908
2019,36596152,1,36761922
2019,36604889,1,36765384
2019,36600066,1,36770493
2019,36596175,1,36761947
2019,36596185,1,36761957
2019,36596186,1,36770497
2019,36596190,1,36770501
2019,36596194,1,36761965
2019,36600080,1,36770508
2019,36600090,1,36761977
2019,36600104,1,36765392
2019,36596218,1,36761985
2019,38139920,1,38225343
2019,38139921,1,38225344
2019,38140075,1,38225498
2019,38140076,1,38225499
2019,38140078,1,38225501
2019,38140080,1,38225503
2019,38140102,1,38225525
2019,38140104,1,38225527
2019,38140108,1,38225531
2019,38140107,1,38225530
2019,38140110,1,38225533
2019,38140115,1,38225538
2019,38140120,1,38225543
2019,38140123,1,38225546
2019,38140126,1,38225549
2019,38140130,1,38225553
2019,38140133,1,38225556
2019,38140136,1,38225559
2019,38140139,1,38225562
2019,38140141,1,38225564
2019,38140144,1,38225567
2019,38140146,1,38225569
2019,38140169,1,38225592
2019,38140188,1,38225611
2019,38140189,1,38225612
2019,38140191,1,38225614
2019,38140193,1,38225616
2019,36605689,1,36766154
2019,36605690,7,36766155
2019,36605722,1,36766184
2019,36596933,1,36762712
2019,36596935,1,36762713
2019,36605733,1,36771300
2019,36600847,1,36771299
2019,36597026,1,36762803
2019,36605900,1,36766366
2019,36605907,1,36766373
2019,36605908,1,36766374
2019,36600974,1,36771426
2019,36597057,1,36766389
2019,36597061,1,36771436
2019,36600984,1,36771441
2019,36600988,1,36771444
2019,36605964,1,36766425
2019,36605967,1,36766428
2019,36605971,1,36766431
2019,36600999,1,36771456
2019,36605983,7,36766443
2019,36601023,1,36771482
2019,36601046,1,36771506
2019,36601055,1,36771515
2019,36606046,1,36766505
2019,36601058,1,36771521
2019,36606045,1,36766504
2019,36597137,3,36762908
2019,36606052,3,36766512
2019,36597138,1,36762909
2019,36601076,1,36771537
2019,36601186,1,36771651
2019,36606191,1,36766664
2019,36606204,1,36766675
2019,36606209,1,36766678
2019,36601258,1,36766689
2019,36606227,1,36771722
2019,36601293,1,36771750
2019,36606260,22,36766731
2019,36597357,3,36763123
2019,36601328,1,36766757
2019,36601339,1,36771802
2019,36601344,1,36766771
2019,36597373,1,36763140
2019,36597374,1,36766783
2019,36597376,1,36763141
2019,36601349,1,36771815
2019,36597957,1,36763730
2019,36607713,5,36768145
